20.0000014990	-0.0000001940	-0.0000001940
19.4915320606	-0.0000001413	-0.0000001413
18.9830626223	-0.0000001703	-0.0000001703
18.4745931840	-0.0000002543	-0.0000002543
17.9661237456	-0.0000002009	-0.0000002009
17.4576543073	-0.0000002211	-0.0000002211
16.9491848690	-0.0000001689	-0.0000001689
16.4407154307	-0.0000002475	-0.0000002475
15.9322459923	-0.0000002423	-0.0000002423
15.4237765540	-0.0000002391	-0.0000002391
14.9152053200	-0.0000001697	-0.0000001697
14.4067358817	-0.0000001443	-0.0000001443
13.8982664433	-0.0000001412	-0.0000001412
13.3897970050	-0.0000002137	-0.0000002137
12.8813275667	-0.0000002138	-0.0000002138
12.3728581283	-0.0000001594	-0.0000001594
11.8643886900	-0.0000001692	-0.0000001692
11.3559192517	-0.0000002441	-0.0000002441
10.8474498134	-0.0000001738	-0.0000001738
10.3389803750	-0.0000001408	-0.0000001408
9.8305109367	-0.0000001062	-0.0000001062
9.3220414984	-0.0000002909	-0.0000002909
8.8135720600	-0.0000001896	-0.0000001896
8.3051026217	-0.0000001551	-0.0000001551
7.7966331834	-0.0000002965	-0.0000002965
7.2881637451	-0.0000001576	-0.0000001576
6.7796943067	-0.0000002759	-0.0000002759
6.2712248684	-0.0000002438	-0.0000002438
5.7627554301	-0.0000003591	-0.0000003591
5.2542859917	-0.0000001302	-0.0000001302
4.7457147577	-0.0000002260	-0.0000002260
4.2372453194	-0.0000002470	-0.0000002470
3.7287758811	-0.0000002718	-0.0000002718
3.2203064427	-0.0000001335	-0.0000001335
2.7118370044	-0.0000000482	-0.0000000482
2.2033675661	-0.0000001333	-0.0000001333
1.6948981278	-0.0000001487	-0.0000001487
1.1864286894	-0.0000025647	-0.0000025647
0.6779592511	-0.0000037041	-0.0000037041
0.1694898128	-0.0000038205	-0.0000038205
-0.3389796256	-0.0000036295	-0.0000036295
-0.8474490639	-0.0000037978	-0.0000037978
-1.3559185022	-0.0000037027	-0.0000037027
-1.8643879405	-0.0000038262	-0.0000038262
-2.3728573789	-0.0000038044	-0.0000038044
-2.8813268172	-0.0000037410	-0.0000037410
-3.3897962555	-0.0000039556	-0.0000039556
-3.8982656939	-0.0000037571	-0.0000037571
-4.4067351322	-0.0000038942	-0.0000038942
-4.9152045705	-0.0000039680	-0.0000039680
-5.4237758045	-0.0000038357	-0.0000038357
-5.9322452428	-0.0000039679	-0.0000039679
-6.4407146812	-0.0000039706	-0.0000039706
-6.9491841195	-0.0000038479	-0.0000038479
-7.4576535578	-0.0000038104	-0.0000038104
-7.9661229962	-0.0000038405	-0.0000038405
-8.4745924345	-0.0000040028	-0.0000040028
-8.9830618728	-0.0000038081	-0.0000038081
-9.4915313111	-0.0000040285	-0.0000040285
-10.0000007495	-0.0000039218	-0.0000039218
-11.0255922592	-0.0000038745	-0.0000038745
-12.0512855646	-0.0000039236	-0.0000039236
-13.0768770744	-0.0000039339	-0.0000039339
